"KOD","fullTheta"
"Z19037",-0.799750937583884
"Z19038",0.210469682130083
"Z19039",-1.87017288579978
"Z19040",-1.52524298919516
"Z19041",-1.24135333123776
"Z19042",0.599998242274028
"Z19043",-1.77211154205269
"Z19044",-0.702276739144429
"Z19045",0.600000882471371
"Z19046",-1.02286203651493
"Z19047",-1.10797074309906
"Z19048",-0.199984466925508
"Z19049",-0.473863000942066
"Z19050",-1.5760391182917
"Z19051",-1.29005580799258
"Z19052",-0.39994433563487
"Z19053",-1.01297221400061
"Z19054",0.200000401824691
"Z19055",-1.27183735032241
"Z19057",-1.30267584455761
"Z19058",-1.22179781296454
"Z19059",-1.2044860317712
"Z19060",-0.000121316343283248
"Z19061",-1.69474883328163
"Z19062",-0.964570642641231
"Z19063",-0.613787400672834
"Z19064",-1.00381236127574
"Z19065",-2.9183752430265
"Z19066",-1.2460576029684
"Z19067",-0.399819379154594
"Z19068",-1.8230658405916
"Z19069",-3.26730848337267
"Z19070",-1.00872877701441
"Z19071",-1.1122363886097
"Z19072",-2.2085560008807
"Z19073",0.20001313462152
"Z19074",-1.13880979469266
"Z19075",-1.4238727274023
"Z19076",-0.949712207692239
"Z19077",-1.50623663112768
"Z19078",-2.55009310166808
"Z19079",-1.08653458765947
"Z19080",-1.6205880798128
"Z19081",-1.58143404695364
"Z19082",0.600000043417734
"Z19083",-0.00363669696926807
"Z19084",0.200891236490432
"Z19085",-1.30313389925745
"Z19086",0.399999695799725
"Z19087",-0.609259621060493
"Z19088",-0.203187501611968
"Z19089",-4.04755717355632e-05
"Z19090",-1.42582871270716
"Z19091",-0.800221362043226
"Z19092",-1.00018705043722
"Z19093",-1.6071128060186
"Z19094",-0.791960137882898
"Z19095",-2.08712815822328
"Z19096",-0.178370328164537
"Z19097",-0.781282218221797
"Z19098",-0.396575623426987
"Z19099",-2.12541566188728
"Z19100",-1.64021635907961
"Z19101",-1.03912860796983
"Z19102",-0.80881102445928
"Z19103",-3.12551345161358
"Z19104",-2.05764428974618
"Z19105",-2.13523708204552
"Z19106",-0.995226655746115
"Z19107",-0.400005778164916
"Z19108",-0.798008802332074
"Z19109",-0.880844485767015
"Z19110",-2.08764922813742
"Z19111",-3.08903288072672
"Z19112",-1.00775459013597
"Z19113",-0.591582095010632
"Z19114",-1.26618197498803
"Z19116",-3.55384309986773
"Z19117",-0.797834579566585
"Z19118",-0.600081651180683
"Z19119",-2.20175555825116
"Z19120",-0.399334546127502
"Z19121",-0.782764772234375
"Z19122",-0.599906863352512
"Z19123",-1.03175178273675
"Z19124",-0.798855836030014
"Z19125",-0.600718545302762
"Z20001",0.199999997863487
"Z20002",-0.601285070706632
"Z20003",-0.94206824051364
"Z20004",-0.610742244265383
"Z20005",0.932035914842791
"Z20006",-1.68748600558085
"Z20007",-0.988013930295437
"Z20008",-1.01095177821186
"Z20009",-1.93435000817802
"Z20010",-0.605228508739674
"Z20011",-0.200000048801774
"Z20012",-1.85103516222387
"Z20013",-0.800149993495789
"Z20014",-0.785971571137084
"Z20015",-1.1927634926723
"Z20016",-1.43474981480151
"Z20017",-1.9200608469156
"Z20018",-0.599667408700077
"Z20019",-0.786367455983129
"Z20020",-1.92046776518289
"Z20021",-0.827388052727456
"Z20022",-1.33278718151643
"Z20023",-1.4630427449598
"Z20024",-0.400283525659772
"Z20025",-1.77867645042512
"Z20026",-0.200002407476184
"Z20027",-1.04910653963623
"Z20028",-2.60125792983145
"Z20029",-1.25362090668128
"Z20030",-0.199999970882998
"Z20031",-1.00906431308977
"Z20032",-0.830971159601084
"Z20033",-1.19498759548121
"Z20034",-0.833709705744
"Z20035",-1.0039303363577
"Z20036",-1.55867004818649
"Z20037",-0.199998870650924
"Z20038",-1.1383140983425
"Z20040",-0.199858885743002
"Z20041",-1.80992328689788
"Z20042",-0.831088271145671
"Z20043",-0.350311390349408
"Z20044",-1.51898799222745
"Z20045",-1.9275169475053
"Z20046",-0.600139928193119
"Z20047",-2.56922504810068
"Z20048",-2.21966959220362
"Z20050",-0.599967530110635
"Z20051",-2.61886505909306
"Z20052",-1.45222284759869
"Z20053",-0.201160681571923
"Z20054",-0.261378336294522
"Z20055",-1.29422250702144
"Z20056",-0.595008832943104
"Z20057",1.19992610180579
"Z20058",-0.930448005888126
"Z20060",-0.800163839383003
"Z20061",-0.648324672716506
"Z20062",-0.20000025522881
"Z20063",0.399994180042012
"Z20064",-1.01254907225004
"Z20065",-0.199999241906383
"Z20066",0.399999981998677
"Z20067",0.186606874397514
"Z20068",0.20000000013228
"Z20069",1.75926995923361e-06
"Z20070",-0.833271101315146
"Z20071",-0.20009586326696
"Z20072",0.60220062504429
"Z20073",-0.78193870601445
"Z20074",-2.17757180648877
"Z20075",-0.794208305779492
"Z20076",-0.802743182355881
"Z20077",-2.03190371035404
"Z20078",-1.41454870036818
"Z20079",-0.40007569193685
"Z20080",-1.85026115867505
"Z20081",-1.0070974763604
"Z20082",-1.14826927394462
"Z20083",-0.810844556465111
"Z20084",-1.23857367304033
"Z20085",-0.599468535154193
"Z20086",-2.73110693813731
"Z20087",0.199999999646755
"Z20088",-0.600826364425191
"Z20089",-0.200000090726905
"Z20091",-0.797190076562443
"Z20092",-0.991026107596121
"Z20093",-0.374527187454986
"Z20094",-1.01247105293052
"Z20095",-3.3052558994813
"Z20096",-2.27449185458153
"Z20098",-0.786077482901625
"Z20099",6.47922106546255e-08
"Z20100",-0.19967412981099
"Z20101",-2.71272729792908e-05
"Z20102",-1.58700063095485
"Z20103",0.199999999382199
"Z20104",-2.48135643503408
"Z20105",-0.898441696777162
"Z20107",-3.15165967933247
"Z20108",-0.198059035475157
"Z20109",-0.599761661550704
"Z20110",0.400009904657586
"Z20111",-2.03678397672996
"Z20112",-0.749262713983111
"Z20113",-1.32575967602298
"Z20114",-1.30387955829093
"Z20115",0.600000002283673
"Z20116",-3.04267089522233
"Z20117",-0.390553062378344
"Z20118",-0.400081231916361
"Z20119",-0.0663896453756406
"Z20120",0.00988046429774222
"Z20121",-1.29769732424204
"Z20122",-0.59777630839256
"Z20123",-1.46988673869123
"Z20124",-1.10727316738314
"Z20125",-0.196832317393005
"Z20126",0.59999995724905
