"item","S_X2","df.S_X2","RMSEA.S_X2","p.S_X2"
54,202.390923542251,224,0,0.847077381208507
55,228.71781711265,226,0.00228860031289995,0.436968681251065
56,68.7548513208163,90,0,0.95332116826286
57,255.633244747137,249,0.00340625686951312,0.372795774673714
58,301.078651635326,295,0.0029957576540039,0.391289578505826
59,283.832650678732,276,0.00351571689683773,0.359950557417922
60,303.569594752279,290,0.00451438400121509,0.280124745815021
61,314.976493131566,316,0,0.505675636792843
62,233.289927217963,242,0,0.644444246975787
63,259.073341967672,240,0.00588331138679316,0.189764414402986
64,316.303726589743,307,0.0036330664389696,0.345100595916705
65,171.214470414388,191,0,0.844977095671503
66,173.285200612818,204,0,0.941905582718616
67,178.619333792787,219,0,0.978838512212065
68,283.116687956126,281,0.00181129553909575,0.453361591225263
69,255.470273865442,276,0,0.807275476534051
70,161.718039784647,168,0,0.621940702133289
71,201.410393017141,196,0.00346737193289124,0.38041360517069
72,255.51967841968,252,0.0024664100447117,0.426331434532862
73,233.860555680979,235,0,0.508725802582446
74,187.437367351947,174,0.00579957980685056,0.230229426575463
75,218.118368176333,197,0.00683299532508299,0.144247712838242
76,196.6797488817,192,0.00325817733592674,0.39324935865148
77,185.482851778538,169,0.00651758768141564,0.182748169826726
78,202.271139229173,219,0,0.784820638900436
79,280.56695235111,243,0.0082056672789878,0.0491360372444387
80,206.313208636956,215,0,0.652628552887712
81,195.13440653062,212,0,0.790814228473936
82,257.271836525766,244,0.00486726124108094,0.267537341841157
83,183.972491552532,202,0,0.813705870274546
84,184.232744143972,235,0,0.993861337917367
85,198.46687977952,198,0.00101340722345017,0.477294115984405
86,194.789217291564,203,0,0.647995724300655
87,208.966776820736,221,0,0.709261992734432
88,275.875628064816,283,0,0.607928530102186
89,216.139886460844,212,0.00291635469480237,0.40823487973533
90,159.917569419248,155,0.0037172644533893,0.376693770403716
91,165.583874358566,145,0.00786309672810208,0.116129000298043
92,229.173541373716,221,0.00401349802828474,0.338813267199383
93,212.493817518349,229,0,0.776159219323459
94,327.442721068859,267,0.00992956975927813,0.00677180723342716
95,197.991230910244,211,0,0.730435311578886
96,198.587705615359,168,0.00890497835458344,0.0533896630568482
97,284.990370356531,273,0.00437370043101433,0.296585144971493
98,250.030543609283,245,0.00299046328684875,0.399055949483838
99,238.650628492357,223,0.00552875719871282,0.224880780340702
100,225.149341464726,205,0.00654285892076128,0.159400900889689
101,189.870199232394,187,0.00258552818763242,0.427752364946167
102,197.432693487009,200,0,0.53805769532228
103,195.085701876901,212,0,0.791532285693624
104,188.293958839146,195,0,0.621598711929512
105,149.657378168647,179,0,0.946186628542062
106,214.260824916585,207,0.00390860575988853,0.349956134726439
107,149.56166109626,168,0,0.843397926767674
108,188.988643733866,180,0.00466363861178164,0.308156940299447
109,230.711619588511,191,0.00951603814646222,0.0262193120915975
110,219.630107890985,208,0.00493485347831156,0.276770285279043
