"code","days","months","gender","fullTheta","SE","weeks"
"Z35036",1087,35,"dziewczynka",-0.411218567137889,0.0460201823713979,156
"Z35037",1065,34,"chłopiec",1.59320835664973,0.0530698727829867,153
"Z35038",1095,35,"dziewczynka",2.01993836444903,0.121237677987023,157
"Z35039",1084,35,"chłopiec",1.41471764895078,0.0525278289614629,155
"Z35040",1082,35,"chłopiec",1.39463671005086,0.0337068540608497,155
"Z35041",1081,35,"chłopiec",1.77611556155192,0.0892538131593516,155
"Z35042",1080,35,"dziewczynka",0.200001267510198,0.000503488265341088,155
"Z35043",1076,35,"dziewczynka",1.25462853367115,0.0891164765629354,154
"Z35044",1082,35,"dziewczynka",0.800586331438373,0.0108130710362663,155
"Z35045",1086,35,"chłopiec",-1.39615431435391,0.0906898686685443,156
"Z35046",1066,35,"chłopiec",3.17461981606346,0.404385808729334,153
"Z35047",1080,35,"dziewczynka",-0.240711414845456,0.0805286512391039,155
"Z35048",1079,35,"chłopiec",1.65541199607683,0.0910509259263811,155
"Z35049",1090,35,"chłopiec",2.48052733721806,0.205917131401292,156
"Z35050",1093,35,"dziewczynka",0.19999999973837,7.33981217243489e-06,157
"Z35051",1095,35,"dziewczynka",1.0015351843776,0.0174551674649542,157
"Z35052",1080,35,"dziewczynka",0.599999987385811,5.05052223777028e-05,155
"Z35053",1082,35,"chłopiec",0.617506265505568,0.0565224182883225,155
"Z35054",1086,35,"chłopiec",-0.410464852827901,0.0445360239313946,156
"Z35055",1093,35,"chłopiec",0.778835746235672,0.061521745062321,157
"Z35056",1089,35,"chłopiec",-0.599946803673846,0.00349819748747165,156
"Z35057",1087,35,"chłopiec",2.35682121992645,0.179582677402863,156
"Z35058",1091,35,"chłopiec",3.17461981606346,0.404385808729334,156
"Z35059",1086,35,"dziewczynka",1.307153104734,0.0997523573551208,156
"Z35060",1092,35,"chłopiec",2.94344719932946,0.330538819057322,156
"Z35061",1092,35,"dziewczynka",-1.44214223875319,0.0992986913231665,156
"Z35062",1080,35,"dziewczynka",1.41090410539801,0.0458972036597662,155
"Z35063",1078,35,"dziewczynka",1.40951627879131,0.0431773477893121,154
"Z35064",1093,35,"dziewczynka",1.62757866981172,0.0724182565583547,157
"Z35065",1067,35,"dziewczynka",-0.389706027198566,0.0441908213294767,153
"Z35066",1080,35,"dziewczynka",0.400004641950654,0.000963518854672942,155
"Z35067",1082,35,"dziewczynka",1.37682440836543,0.0641593444490506,155
"Z35068",1070,35,"dziewczynka",0.799983757296135,0.00180231901382904,153
"Z35069",1071,35,"dziewczynka",0.580089903274692,0.0598799414950656,153
"Z35070",1072,35,"chłopiec",-0.949802747866816,0.0868499652677015,154
"Z35071",1070,35,"chłopiec",3.17461981606346,0.404385808729334,153
"Z35072",1079,35,"dziewczynka",1.00305033341999,0.0245104780658891,155
"Z35073",1077,35,"chłopiec",0.200012297975327,0.00156826140206482,154
"Z35074",1116,36,"dziewczynka",1.00155499591104,0.0175665568822064,160
"Z35075",1089,35,"dziewczynka",0.799999966163981,0.000152817249284753,156
"Z35076",1092,35,"dziewczynka",2.24417816867753,0.15841224455946,156
"Z35077",1092,35,"dziewczynka",1.34424095153176,0.0897097797161967,156
"Z35078",1078,35,"chłopiec",-1.47353446891292,0.107840168410342,154
"Z35079",1065,34,"chłopiec",1.19325368100424,0.0361144993169907,153
"Z35080",1092,35,"dziewczynka",0.399999987908066,4.91780895473636e-05,156
"Z35081",1088,35,"chłopiec",1.32816690032695,0.0959674863557202,156
"Z35082",1080,35,"chłopiec",2.89244728788653,0.315018510454357,155
"Z35083",1075,35,"dziewczynka",0.995657431433117,0.029148872512675,154
"Z35084",1081,35,"dziewczynka",-0.617519334516963,0.0565415374540065,155
"Z35085",1073,35,"dziewczynka",0.248867505901524,0.085938745902354,154
"Z35086",1067,35,"dziewczynka",1.95100487308391,0.1165979387761,153
"Z35087",1095,35,"dziewczynka",1.98674709818724,0.118172788638389,157
