"a","b","position","category","number.ws"
2.71945955374385,-0.218830109426373,"pieluszka.pampers","Z06.ubrania",167
3.32968174888289,0.107760242629967,"piżama","Z06.ubrania",168
3.07186084223566,0.278368724821058,"rajstopy.rajtuzy","Z06.ubrania",169
3.19543674608855,0.214747618873371,"rękawiczki","Z06.ubrania",170
3.56857012434574,-0.247252686093268,"skarpetki","Z06.ubrania",171
3.80185646076047,-0.182638555406807,"spodnie","Z06.ubrania",172
2.86727030607764,0.455611923606311,"sukienka","Z06.ubrania",173
3.46928305638749,0.395876761105717,"sweter","Z06.ubrania",174
3.35271996259338,0.222659491365767,"szalik","Z06.ubrania",175
2.25748870507848,0.812015805029285,"śliniaczek","Z06.ubrania",176
3.53776131014998,0.205866830598364,"ubranie","Z06.ubrania",177
2.64318176139434,0.198650710884149,"broda","Z07.części_ciała",178
4.15703916687487,-0.51398362012065,"brzuch","Z07.części_ciała",179
3.32410485225834,-0.519622282548791,"buzia","Z07.części_ciała",180
2.84813846034323,0.0495362428797568,"czoło","Z07.części_ciała",181
2.90337453628601,0.456389357118162,"gardło","Z07.części_ciała",182
4.23860212516463,-0.453691698672145,"głowa","Z07.części_ciała",183
3.4078596439613,0.0526888901136626,"język","Z07.części_ciała",184
3.81342278415397,0.0725232080237775,"kolano","Z07.części_ciała",185
2.60635219088879,0.687282007905673,"krew","Z07.części_ciała",186
2.54525163336294,0.865866172495277,"łokieć","Z07.części_ciała",187
3.91101459336631,-0.581873356961395,"noga","Z07.części_ciała",188
3.06068739850533,-0.992025864453817,"nos","Z07.części_ciała",189
2.57176238942695,-1.22802519800882,"oko","Z07.części_ciała",190
3.79895224240565,-0.236499706973936,"palec","Z07.części_ciała",191
3.90946551294282,0.326211444434741,"paznokcie.pazurki","Z07.części_ciała",192
2.51280725578942,-0.242179897162162,"pępek","Z07.części_ciała",193
3.5957645648446,0.124728636276555,"plecy","Z07.części_ciała",194
3.20621458190074,0.361471362796017,"policzek","Z07.części_ciała",195
2.58457399011794,-0.87549246851499,"pupa","Z07.części_ciała",196
4.15793060671115,-0.382638377506607,"ręka","Z07.części_ciała",197
2.7442605154609,0.557699785772792,"serce","Z07.części_ciała",198
3.00980962849628,0.80038121560362,"skóra","Z07.części_ciała",199
3.02227703813344,0.140254563291773,"szyja","Z07.części_ciała",200
3.18878214019969,-0.658379247665773,"ucho","Z07.części_ciała",201
4.00435090271582,-0.420979413995559,"włosy","Z07.części_ciała",202
3.93072898127224,-0.198454981422269,"ząb","Z07.części_ciała",203
2.23958155007663,0.54052134078356,"balkon","Z08.w_domu",204
2.53168389371753,0.409096218575112,"dach","Z08.w_domu",205
3.42605000215699,-0.528556269415364,"drzwi","Z08.w_domu",206
3.54073159939156,0.166099100682474,"dywan","Z08.w_domu",207
2.89663168363889,0.551370424152578,"firanka.zasłona","Z08.w_domu",208
3.22627748530787,0.145090789825024,"fotel","Z08.w_domu",209
2.85817861441368,0.898641250095112,"korytarz.przedpokój","Z08.w_domu",210
3.0164336783441,0.434630277930502,"kran","Z08.w_domu",211
3.75984801351034,-0.149969315128108,"krzesło","Z08.w_domu",212
4.30481674510487,-0.00760145235343542,"kuchnia","Z08.w_domu",213
3.98948034705505,0.0824012785343363,"lodówka","Z08.w_domu",214
4.06442689556745,0.0806393429071586,"łazienka","Z08.w_domu",215
4.19370517776247,-0.212177720718677,"łóżko","Z08.w_domu",216
2.94074158526532,0.120617607576316,"odkurzacz","Z08.w_domu",217
3.33896900969208,-0.380852222895156,"okno","Z08.w_domu",218
4.34397773447008,0.268152049016383,"podłoga","Z08.w_domu",219
4.3688100901797,0.00849618005909006,"pokój","Z08.w_domu",220
3.36420775732956,0.725689947855737,"półka.regał","Z08.w_domu",221
3.72200883950102,0.056295366532081,"pralka","Z08.w_domu",222
2.90665718863097,0.570924797393325,"prysznic","Z08.w_domu",223
4.18583236425854,0.0817083497679783,"schody","Z08.w_domu",224
2.72557612301718,0.668136200178936,"stołek","Z08.w_domu",225
4.36020121445116,-0.186636589383926,"stół","Z08.w_domu",226
2.97857168328843,0.791096364631919,"sufit","Z08.w_domu",227
4.05377739480572,0.116636565370922,"szafa","Z08.w_domu",228
3.60045979733737,0.60350176172207,"szuflada","Z08.w_domu",229
4.03166219081828,0.323795607255171,"ściana","Z08.w_domu",230
3.35019951678491,-0.141184821363729,"telewizor","Z08.w_domu",231
2.44641655033684,0.479971171142276,"ubikacja.ustęp","Z08.w_domu",232
3.05456529786509,0.0582795856548872,"wanna","Z08.w_domu",233
3.42160817215924,-0.218129478678052,"wózek","Z08.w_domu",234
2.74770413786136,0.450478925018816,"aparat.kamera","Z09.przedmioty_domowego_użytku",235
3.24409136660454,-0.298309666451044,"butelka","Z09.przedmioty_domowego_użytku",236
2.97904812645394,0.469260209384094,"czajnik","Z09.przedmioty_domowego_użytku",237
3.08078549560856,0.610860566198865,"deska","Z09.przedmioty_domowego_użytku",238
3.78682164690052,0.202702282730355,"garnek","Z09.przedmioty_domowego_użytku",239
3.47612316854408,0.348745073580637,"gazeta","Z09.przedmioty_domowego_użytku",240
2.85679098675936,0.434794858933148,"grzebień","Z09.przedmioty_domowego_użytku",241
2.63295173314867,0.862018167003139,"igła","Z09.przedmioty_domowego_użytku",242
3.41134531830668,-0.17418853064949,"klucz","Z09.przedmioty_domowego_użytku",243
